# Decompiled JARs manifest
# Generated: Wed Aug 19 21:27:22 UTC 2026
CustomPropInterface: 1 classes
EpdgManager: 14 classes
SemAudioThumbnail: 6 classes
SmpsManager: 6 classes
abx: 1 classes
am: 236 classes
android.hidl.base-V1.0-java: 5 classes
android.hidl.manager-V1.0-java: 14 classes
android.test.base: 29 classes
android.test.mock: 21 classes
android.test.runner: 69 classes
aod: 2 classes
appwidget: 4 classes
bmgr: 13 classes
bu: 1 classes
com.android.future.usb.accessory: 2 classes
com.android.location.provider: 27 classes
com.android.media.remotedisplay: 4 classes
com.android.mediadrm.signer: 3 classes
com.android.nfc_extras: 9 classes
com.fingerprints.common.extension: 94 classes
com.publicnfc: 5 classes
com.samsung.android.ibs.framework-v1: 1 classes
com.samsung.android.nfc.mpos: 11 classes
com.samsung.android.nfc.rfcontrol: 5 classes
com.samsung.android.privacydashboard.framework-v1: 6 classes
com.samsung.android.psitrackersdk.framework-v1: 4 classes
com.samsung.android.semtelephonesdk.framework-v1: 226 classes
com.samsung.android.spensdk.framework-v1: 4 classes
com.samsung.bbc: 65 classes
com.samsung.device: 1 classes
com.sec.android.sdhmssdk.framework-v1: 15 classes
content: 12 classes
duraspeed: 77 classes
ext: 85 classes
framework-graphics: 1 classes
framework: 32172 classes
gamemanager: 60 classes
gamesdk: 86 classes
gamesdkWrapper: 3 classes
hcm: 43 classes
hid: 9 classes
hqm: 52 classes
ims-common: 383 classes
imsmanager: 358 classes
incident-helper-cmd: 10 classes
javax.obex: 1 classes
knoxanalyticssdk: 7 classes
knoxsdk: 871 classes
locksettings: 2 classes
log-handler: 58 classes
manager_wrapper_compat: 4 classes
mcfsdk: 179 classes
mediatek-common: 91 classes
mediatek-framework: 132 classes
mediatek-ims-base: 46 classes
monkey: 94 classes
motionrecognitionservice: 260 classes
mw: 2 classes
org.apache.http.legacy: 456 classes
org.simalliance.openmobileapi: 40 classes
perfsdkservice: 6 classes
rcsopenapi: 335 classes
requestsync: 9 classes
saiv: 18 classes
samsungkeystoreutils: 11 classes
scamera_sdk_util: 5 classes
sec_platform_library: 4 classes
secimaging: 11 classes
secinputdev-service: 188 classes
semextendedformat: 30 classes
semmediatranscoder: 62 classes
semsdrvideoconverter: 22 classes
semwifi-service: 4202 classes
service-samsung-payment: 9 classes
services: 18922 classes
sm: 3 classes
sprengine: 93 classes
ssrm: 141 classes
svc: 8 classes
telecom: 1 classes
telephony-common: 2282 classes
uiautomator: 476 classes
uibc_java: 27 classes
uinput: 12 classes
vendor.samsung.frameworks.codecsolution-service: 48 classes
vendor.samsung.frameworks.hdrsolution-service: 14 classes
vendor.silead.hardware.fingerprintext-V1.0-java: 11 classes
voip-common: 599 classes
vr: 1 classes
vsimmanager: 631 classes
