package_name,is_known,jar,class,method_name,method_sig,line,register,usage_type,usage_detail,file
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub,<init>,<com.sec.epdg.IEpdgHandoverListener$Stub: void <init>()>,54,v0,invoke,"invoke-virtual {p0, p0, v0}, Lcom/sec/epdg/IEpdgHandoverListener$Stub;->attachInterface(Landroid/os/IInterface;Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub,asInterface,<com.sec.epdg.IEpdgHandoverListener$Stub: com.sec.epdg.IEpdgHandoverListener asInterface(android.os.IBinder)>,76,v0,invoke,"invoke-interface {p0, v0}, Landroid/os/IBinder;->queryLocalInterface(Ljava/lang/String;)Landroid/os/IInterface;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub,onTransact,"<com.sec.epdg.IEpdgHandoverListener$Stub: boolean onTransact(int,android.os.Parcel,android.os.Parcel,int)>",128,v0,unknown,".local v0, ""descriptor"":Ljava/lang/String;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub,<init>,<com.sec.epdg.IEpdgManager$Stub: void <init>()>,90,v0,invoke,"invoke-virtual {p0, p0, v0}, Lcom/sec/epdg/IEpdgManager$Stub;->attachInterface(Landroid/os/IInterface;Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub,asInterface,<com.sec.epdg.IEpdgManager$Stub: com.sec.epdg.IEpdgManager asInterface(android.os.IBinder)>,112,v0,invoke,"invoke-interface {p0, v0}, Landroid/os/IBinder;->queryLocalInterface(Ljava/lang/String;)Landroid/os/IInterface;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub,onTransact,"<com.sec.epdg.IEpdgManager$Stub: boolean onTransact(int,android.os.Parcel,android.os.Parcel,int)>",172,v10,unknown,".local v10, ""descriptor"":Ljava/lang/String;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub.smali
com.sec.epdg,no,EpdgManager,com.sec.epdg.EpdgManager,connectService,<com.sec.epdg.EpdgManager: void connectService()>,589,v1,invoke,"invoke-virtual {v0, v1, v2}, Landroid/content/Intent;->setClassName(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/EpdgManager.smali
com.sec.epdg.EpdgService,no,EpdgManager,com.sec.epdg.EpdgManager,connectService,<com.sec.epdg.EpdgManager: void connectService()>,591,v2,invoke,"invoke-virtual {v0, v1, v2}, Landroid/content/Intent;->setClassName(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/EpdgManager.smali
com.sec.epdg,no,EpdgManager,com.sec.epdg.EpdgManager,startService,<com.sec.epdg.EpdgManager: void startService(android.content.Intent)>,1572,v0,invoke,"invoke-virtual {p1, v0, v1}, Landroid/content/Intent;->setClassName(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/EpdgManager.smali
com.sec.epdg.EpdgService,no,EpdgManager,com.sec.epdg.EpdgManager,startService,<com.sec.epdg.EpdgManager: void startService(android.content.Intent)>,1574,v1,invoke,"invoke-virtual {p1, v0, v1}, Landroid/content/Intent;->setClassName(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/EpdgManager.smali
