package_name,is_known,jar,class,method_name,method_sig,line,register,usage_type,usage_detail,file
com.sec.epdg,no,EpdgManager,com.sec.epdg.EpdgManager,connectService,<com.sec.epdg.EpdgManager: void connectService()>,589,v1,invoke,"invoke-virtual {v0, v1, v2}, Landroid/content/Intent;->setClassName(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/EpdgManager.smali
com.sec.epdg,no,EpdgManager,com.sec.epdg.EpdgManager,startService,<com.sec.epdg.EpdgManager: void startService(android.content.Intent)>,1572,v0,invoke,"invoke-virtual {p1, v0, v1}, Landroid/content/Intent;->setClassName(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/EpdgManager.smali
com.sec.epdg,no,EpdgManager,com.sec.epdg.EpdgManager,stopService,<com.sec.epdg.EpdgManager: void stopService()>,1636,v1,invoke,"invoke-virtual {v0, v1, v2}, Landroid/content/Intent;->setClassName(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/EpdgManager.smali
com.android.nfc,no,com.samsung.android.nfc.mpos,com.samsung.android.nfc.mpos.MPOSAdapter$1,run,<com.samsung.android.nfc.mpos.MPOSAdapter$1: void run()>,52,v1,invoke,"invoke-virtual {v0, v1}, Landroid/content/Intent;->setPackage(Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/com.samsung.android.nfc.mpos/com/samsung/android/nfc/mpos/MPOSAdapter$1.smali
com.android.phone,no,com.samsung.android.semtelephonesdk.framework-v1,com.samsung.android.semtelephonesdk.framework.SemTelephoneSDK$ServiceBindHelper,bindService,<com.samsung.android.semtelephonesdk.framework.SemTelephoneSDK$ServiceBindHelper: void bindService(android.content.Context)>,128,v2,invoke,"invoke-virtual {v1, v2}, Landroid/content/Intent;->setPackage(Ljava/lang/String;)Landroid/content/Intent;",/artifact/work/samsung/smali/com.samsung.android.semtelephonesdk.framework-v1/com/samsung/android/semtelephonesdk/framework/SemTelephoneSDK$ServiceBindHelper.smali
com.android.shell,no,content,com.android.commands.content.Content$Command,resolveCallingPackage,<com.android.commands.content.Content$Command: java.lang.String resolveCallingPackage()>,59,v0,unknown,return-object v0,/artifact/work/samsung/smali/content/com/android/commands/content/Content$Command.smali
com.android.carrierconfig,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,31,v0,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.android.dialer,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,35,v1,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.android.externalstorage,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,39,v2,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.android.keychain,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,43,v3,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.android.managedprovisioning,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,47,v4,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.android.mms,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,51,v5,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.android.packageinstaller,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,55,v6,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.android.providers.telephony,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,59,v7,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.android.settings,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,63,v8,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.debug.loggerui,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,71,v10,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.google.android.apps.mapslite,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,75,v11,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
com.google.android.gms,no,duraspeed,com.mediatek.duraspeed.collector.q,<clinit>,<com.mediatek.duraspeed.collector.q: void <clinit>()>,79,v12,,,/artifact/work/samsung/smali/duraspeed/com/mediatek/duraspeed/collector/q.smali
