package_name,jar,class,method_sig,patterns,register_flow_summary,method_line_count
com.sec.epdg,EpdgManager,com.sec.epdg.EpdgManager,<com.sec.epdg.EpdgManager: void connectService()>,early_return,"[invoke] android.content.Intent.setClassName() → [other] iget-object v1, p0, Lcom/sec/epdg/EpdgManager;->mContext:Lan → [invoke] android.content.Context.bindService() → [invoke] android.util.Log.d()",75
com.sec.epdg,EpdgManager,com.sec.epdg.EpdgManager,<com.sec.epdg.EpdgManager: void startService(android.content.Intent)>,early_return,"[invoke] android.content.Intent.setClassName() → [other] iget-object v0, p0, Lcom/sec/epdg/EpdgManager;->mContext:Lan → [invoke] android.content.Context.startService() → [reassigned] v0 overwritten",75
com.sec.epdg,EpdgManager,com.sec.epdg.EpdgManager,<com.sec.epdg.EpdgManager: void stopService()>,early_return,"[invoke] android.content.Intent.setClassName() → [other] iget-object v1, p0, Lcom/sec/epdg/EpdgManager;->mContext:Lan → [invoke] android.content.Context.stopService() → [invoke] android.util.Log.d()",65
com.android.nfc,com.samsung.android.nfc.mpos,com.samsung.android.nfc.mpos.MPOSAdapter$1,<com.samsung.android.nfc.mpos.MPOSAdapter$1: void run()>,early_return,[invoke] android.content.Intent.setPackage() → [reassigned] v1 overwritten,46
com.android.phone,com.samsung.android.semtelephonesdk.framework-v1,com.samsung.android.semtelephonesdk.framework.SemTelephoneSDK$ServiceBindHelper,<com.samsung.android.semtelephonesdk.framework.SemTelephoneSDK$ServiceBindHelper: void bindService(android.content.Context)>,early_return,"[invoke] android.content.Intent.setPackage() → [other] iget-object v2, p0, Lcom/samsung/android/semtelephonesdk/fra → [invoke] android.content.Context.bindService()",30
com.android.shell,content,com.android.commands.content.Content$Command,<com.android.commands.content.Content$Command: java.lang.String resolveCallingPackage()>,,[other] return-object v0 → [reassigned] v0 overwritten,35
com.android.carrierconfig,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,"[other] filled-new-array/range {v0 .. v40}, [Ljava/lang/String; → [reassigned] v0 overwritten",370
com.android.dialer,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,[reassigned] v1 overwritten,370
com.android.externalstorage,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,[reassigned] v2 overwritten,370
com.android.keychain,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,[reassigned] v3 overwritten,370
com.android.managedprovisioning,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.android.mms,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.android.packageinstaller,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.android.providers.telephony,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.android.settings,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.debug.loggerui,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.google.android.apps.mapslite,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.google.android.gms,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.google.android.gsf,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
com.google.android.packageinstaller,duraspeed,com.mediatek.duraspeed.collector.q,<com.mediatek.duraspeed.collector.q: void <clinit>()>,early_return,,370
