package_name,is_known,num_refs,num_jars,jars,num_classes,usage_types,enforcement_patterns,security_tags,num_callers,num_callees
android.ext.shared,False,1,1,services,1,invoke,early_return;string_compare;system_property_read,PERM_CHECK;PKG_MGMT;PKG_QUERY;SIG_CHECK;UID_CHECK,1,2077
ch.bitspin.timely,False,1,1,services,1,invoke,early_return,,1,5
cn.banshenggua.aichang,False,1,1,services,1,invoke,early_return,,1,42
cn.kuwo.sing,False,1,1,services,1,invoke,early_return,,1,42
co.sitic.pp,False,1,1,services,1,invoke,early_return;permission_grant;string_compare;system_property_read,APPOPS;PERM_FLAGS;PERM_GRANT;PKG_QUERY;SIG_CHECK,1,184
com.alibaba.android.rimet,False,1,1,services,1,invoke,early_return,,1,5
com.amazon.avod.thirdpartyclient,False,1,1,services,1,invoke,early_return,,1,5
com.amazon.clouddrive.photos,False,1,1,services,1,invoke,early_return,,1,5
com.amazon.dee.app,False,1,1,duraspeed,1,array_init,early_return,,0,1
com.amazon.fv,False,1,1,services,1,invoke,early_return,,1,5
com.amazon.mShop.android,False,1,1,services,1,invoke,early_return,,1,5
com.amazon.mp3,False,1,1,services,1,invoke,early_return,,1,5
com.amazon.windowshop,False,1,1,services,1,invoke,early_return,,1,5
com.android.angryGps,False,1,1,services,1,,early_return,,0,0
com.android.apps.tag,False,1,1,framework,1,,early_return,,0,5
com.android.backupconfirm,False,2,1,services,1,invoke,early_return;string_compare,,8,9
com.android.bluetooth,False,7,3,framework;semwifi-service;services,6,field_store;invoke,allowlist_check;early_return;string_compare;system_property_read,APPOPS;PKG_MGMT;PKG_QUERY;UID_CHECK,13,435
com.android.bluetoothmidiservice,False,3,1,services,3,invoke,early_return;permission_grant;string_compare;system_property_read,APPOPS;PERM_FLAGS;PERM_GRANT;PKG_QUERY;SIG_CHECK,3,250
com.android.browser,False,2,1,knoxsdk,1,invoke,early_return,,0,15
com.android.browser.provider,False,2,1,knoxsdk,1,invoke,early_return,,0,15
com.android.calendar,False,9,3,duraspeed;framework;services,7,invoke,early_return;permission_grant;string_compare;system_property_read,APPOPS;PERM_FLAGS;PERM_GRANT;PKG_QUERY;SIG_CHECK,6,200
com.android.calllogbackup,False,1,1,services,1,invoke,early_return,,1,2
com.android.cameraextensions,False,1,1,framework,1,invoke,early_return;system_property_read,,1,15
com.android.captiveportallogin,False,1,1,services,1,,early_return,,0,0
com.android.carrierconfig,False,1,1,duraspeed,1,,early_return,,0,1
com.android.cellbroadcastreceiver,False,1,1,services,1,invoke,early_return,,1,2
com.android.certinstaller,False,5,2,framework;services,3,invoke,allowlist_check;early_return,UID_CHECK,3,48
com.android.chrome,False,12,4,duraspeed;framework;knoxsdk;services,10,array_init;invoke,early_return;string_compare;system_property_read,PKG_QUERY;UID_CHECK,10,389
com.android.companiondevicemanager,False,4,1,services,4,invoke,early_return;permission_grant;string_compare;system_property_read,APPOPS;PERM_CHECK;PERM_FLAGS;PERM_GRANT;PKG_QUERY;SIG_CHECK;UID_CHECK,3,579
com.android.contacts,False,12,2,framework;services,9,invoke,early_return;permission_grant;string_compare;system_property_read,APPOPS;PERM_FLAGS;PERM_GRANT;PKG_MGMT;PKG_QUERY;SIG_CHECK;UID_CHECK,8,328
com.android.deskclock,False,2,2,duraspeed;framework,2,invoke,early_return,,1,9
com.android.dialer,False,1,1,duraspeed,1,,early_return,,0,1
com.android.documentsui,False,2,2,duraspeed;services,2,array_init;invoke,early_return,PKG_MGMT,1,8
com.android.dynsystem,False,2,1,framework,1,invoke,early_return,,1,8
com.android.email,False,3,2,knoxsdk;services,3,invoke,early_return;string_compare;system_property_read,PERM_CHECK;PKG_QUERY,2,62
com.android.exchange,False,1,1,services,1,invoke,early_return;string_compare;system_property_read,PKG_QUERY,0,11
com.android.externalstorage,False,1,1,duraspeed,1,,early_return,,0,1
com.android.incallui,False,6,3,framework;motionrecognitionservice;services,5,invoke;unknown,early_return;string_compare,,4,20
com.android.inputdevices,False,1,1,services,1,invoke,early_return;string_compare,,2,31
com.android.keychain,False,5,3,duraspeed;framework;services,4,invoke,early_return,,1,27
com.android.keyguard,False,1,1,services,1,invoke,early_return,PKG_QUERY,1,11
com.android.localtransport,False,1,1,duraspeed,1,,early_return,,0,1
com.android.managedprovisioning,False,6,2,duraspeed;services,6,invoke,early_return;string_compare;system_property_read,PERM_CHECK;PKG_MGMT;PKG_QUERY;UID_CHECK,5,170
com.android.mms,False,7,3,duraspeed;framework;services,5,invoke;unknown,early_return;string_compare;system_property_read,PKG_QUERY,3,22
com.android.mms.service,False,1,1,services,1,invoke,early_return,,0,7
com.android.networkstack,False,1,1,services,1,invoke,early_return;string_compare,PKG_QUERY,0,99
com.android.nfc,False,6,3,com.samsung.android.nfc.mpos;framework;services,5,invoke,early_return;string_compare,,1,30
com.android.packageinstaller,False,3,2,duraspeed;services,3,array_init;invoke,early_return,PERM_CHECK;UID_CHECK,2,55
com.android.pacprocessor,False,1,1,services,1,invoke,early_return,,1,7
com.android.permissioncontroller,False,4,1,services,4,invoke,early_return,,1,3
com.android.phone,False,15,5,com.samsung.android.semtelephonesdk.framework-v1;framework;motionrecognitionservice;services;telephony-common,14,invoke,early_return;string_compare;system_property_read,APPOPS;HIDDEN_API;PERM_CHECK;PKG_MGMT;PKG_QUERY;UID_CHECK,15,1404
com.android.printspooler,False,3,1,services,3,invoke,early_return;permission_grant;string_compare;system_property_read,APPOPS;PERM_FLAGS;PERM_GRANT;PKG_QUERY;SIG_CHECK;UID_CHECK,2,338
com.android.providers.blockednumber,False,1,1,services,1,invoke,early_return,,1,2
com.android.providers.calendar,False,1,1,services,1,,early_return,,1,1
com.android.providers.contacts,False,1,1,services,1,invoke,early_return,,1,2
com.android.providers.downloads,False,2,1,services,2,array_init;invoke,early_return;string_compare,PKG_QUERY;UID_CHECK,0,384
com.android.providers.media,False,3,2,framework;services,2,invoke,early_return,,1,7
com.android.providers.media.module,False,3,1,services,3,invoke,early_return,,2,4
com.android.providers.settings,False,5,2,framework;services,5,invoke,early_return;string_compare,PKG_QUERY,12,153
com.android.providers.telephony,False,1,1,duraspeed,1,,early_return,,0,1
com.android.providers.userdictionary,False,1,1,services,1,invoke,early_return,,1,2
com.android.proxyhandler,False,3,1,services,2,invoke,early_return,,4,10
com.android.se,False,2,2,framework;org.simalliance.openmobileapi,2,invoke,early_return,,1,19
com.android.settings,False,95,6,duraspeed;framework;knoxsdk;semwifi-service;services;telephony-common,70,array_init;field_store;invoke,allowlist_check;early_return;hidden_api;string_compare;system_property_read,APPOPS;DEVICE_ID;PERM_CHECK;PKG_QUERY;SIG_CHECK;UID_CHECK,101,3497
com.android.settings.intelligence,False,4,3,knoxsdk;semwifi-service;services,4,invoke,early_return;string_compare,,4,25
com.android.sharedstoragebackup,False,8,1,services,7,field_store;invoke,allowlist_check;early_return;permission_grant;string_compare;system_property_read,APPOPS;PERM_FLAGS;PERM_GRANT;PKG_MGMT;PKG_QUERY;SIG_CHECK,13,621
com.android.shell,False,34,5,content;semwifi-service;services;telephony-common;uiautomator,18,field_store;invoke;move;unknown,allowlist_check;early_return;string_compare,APPOPS;PERM_CHECK;PKG_MGMT;PKG_QUERY;UID_CHECK,24,696
com.android.systemui,False,82,5,framework;hqm;knoxsdk;semwifi-service;services,67,array_init;field_store;invoke;unknown,allowlist_check;early_return;permission_grant;string_compare;system_property_read,APPOPS;DEVICE_ID;PERM_CHECK;PERM_FLAGS;PERM_GRANT;PERM_REVOKE;PKG_MGMT;PKG_QUERY;SIG_CHECK;UID_CHECK,95,3314
com.android.theme.color.black,False,1,1,services,1,,early_return,PKG_QUERY,1,554
com.android.theme.color.cinnamon,False,1,1,services,1,array_init,early_return,PKG_QUERY,1,554
com.android.theme.color.green,False,1,1,services,1,,early_return,PKG_QUERY,1,554
com.android.theme.color.ocean,False,1,1,services,1,,early_return,PKG_QUERY,1,554
com.android.theme.color.orchid,False,1,1,services,1,,early_return,PKG_QUERY,1,554
com.android.theme.color.purple,False,1,1,services,1,,early_return,PKG_QUERY,1,554
com.android.theme.color.space,False,1,1,services,1,,early_return,PKG_QUERY,1,554
